Video,Frame,Overall Score,Overall Status,Blur Score,Blur Status,Brightness Score,Brightness Status,Contrast Score,Contrast Status,Sharpness Score,Sharpness Status,Noise Score,Noise Status,Resolution,Recommendations
Abuse029_x264,motion_0000.jpg,85,GOOD,1875.18,SHARP,84.53,NORMAL,86.16,GOOD,86.71,SHARP,43.3,HIGH,320x240,Apply Denoising
Abuse029_x264,motion_0001.jpg,85,GOOD,1894.1,SHARP,84.37,NORMAL,86.1,GOOD,87.03,SHARP,43.52,HIGH,320x240,Apply Denoising
Abuse029_x264,motion_0002.jpg,85,GOOD,2000.42,SHARP,81.88,NORMAL,85.16,GOOD,88.04,SHARP,44.73,HIGH,320x240,Apply Denoising
Abuse029_x264,motion_0003.jpg,85,GOOD,2036.15,SHARP,81.13,NORMAL,84.72,GOOD,88.75,SHARP,45.12,HIGH,320x240,Apply Denoising
Abuse029_x264,motion_0004.jpg,85,GOOD,2070.48,SHARP,79.84,NORMAL,84.19,GOOD,89.1,SHARP,45.5,HIGH,320x240,Apply Denoising
Abuse029_x264,motion_0005.jpg,85,GOOD,2026.54,SHARP,75.0,NORMAL,81.47,GOOD,86.03,SHARP,45.02,HIGH,320x240,Apply Denoising
Abuse029_x264,motion_0006.jpg,85,GOOD,2043.91,SHARP,73.49,NORMAL,80.89,GOOD,86.19,SHARP,45.21,HIGH,320x240,Apply Denoising
Abuse029_x264,motion_0007.jpg,85,GOOD,2047.68,SHARP,71.33,NORMAL,79.76,GOOD,85.74,SHARP,45.25,HIGH,320x240,Apply Denoising
Abuse029_x264,motion_0008.jpg,85,GOOD,2043.72,SHARP,70.51,NORMAL,79.31,GOOD,85.57,SHARP,45.21,HIGH,320x240,Apply Denoising
Abuse029_x264,motion_0009.jpg,85,GOOD,2055.65,SHARP,70.09,NORMAL,79.11,GOOD,85.55,SHARP,45.34,HIGH,320x240,Apply Denoising
Abuse029_x264,motion_0010.jpg,70,MODERATE,2074.68,SHARP,69.27,DARK,78.74,GOOD,85.81,SHARP,45.55,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0011.jpg,70,MODERATE,2087.26,SHARP,68.95,DARK,78.58,GOOD,86.03,SHARP,45.69,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0012.jpg,70,MODERATE,2110.27,SHARP,68.72,DARK,78.5,GOOD,86.26,SHARP,45.94,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0013.jpg,70,MODERATE,2139.4,SHARP,68.52,DARK,78.41,GOOD,86.48,SHARP,46.25,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0014.jpg,70,MODERATE,2169.26,SHARP,68.36,DARK,78.36,GOOD,86.83,SHARP,46.58,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0015.jpg,70,MODERATE,2213.44,SHARP,68.32,DARK,78.4,GOOD,87.35,SHARP,47.05,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0016.jpg,70,MODERATE,2231.02,SHARP,68.33,DARK,78.43,GOOD,87.57,SHARP,47.23,HIGH,320x240,"Increase Brightness, Apply Denoising"
Abuse029_x264,motion_0017.jpg,70,MODERATE,2255.91,SHARP,68.28,DARK,78.45,GOOD,87.78,SHARP,47.5,HIGH,320x240,"Increase Brightness, Apply Denoising"
